2013; 3; 18; 18; 33; 15.75; -96.28| 4
2013; 3; 19; 5; 31; 14.4; -93.94| 4.1
2013; 3; 19; 16; 17; 14.37; -91.82| 4.2
2013; 3; 19; 23; 10; 15.57; -96.49| 4.1
2013; 3; 20; 9; 35; 14.85; -94.53| 4
2013; 3; 20; 13; 14; 18.01; -101.66| 4
2013; 3; 20; 20; 10; 16.89; -95.06| 4
2013; 3; 21; 1; 31; 16.36; -98.06| 4
2013; 3; 21; 6; 0; 17.65; -101.39| 4
2013; 3; 21; 13; 40; 15.38; -93.76| 4.2
2013; 3; 21; 18; 19; 17.59; -101.23| 4
2013; 3; 21; 19; 39; 16.49; -98.48| 4.2
2013; 3; 21; 23; 8; 14.25; -92.99| 4.2
2013; 3; 22; 8; 43; 16.66; -94.82| 4.1
2013; 3; 22; 12; 10; 15.6; -92.62| 4
2013; 3; 23; 7; 24; 15.81; -98.16| 4.4
2013; 3; 23; 14; 35; 15.94; -96.67| 4
2013; 3; 24; 4; 29; 16.25; -93.15| 4.1
2013; 3; 24; 14; 13; 15.58; -93.35| 4
2013; 3; 24; 14; 56; 16.82; -101.12| 4.1
2013; 3; 24; 21; 57; 14.53; -93.52| 4.1
2013; 3; 24; 22; 10; 15.94; -98.45| 4
2013; 3; 24; 23; 1; 16.46; -93.66| 4.1
2013; 3; 25; 0; 27; 15.64; -94.18| 4.4
2013; 3; 25; 4; 31; 17.91; -101.62| 4.1
2013; 3; 25; 5; 24; 17.26; -100.62| 4.1
2013; 3; 25; 10; 39; 14.27; -93.86| 4.1
2013; 3; 25; 17; 2; 14.35; -90.81| 6.2
2013; 3; 25; 23; 45; 16.52; -94.58| 4.1
2013; 3; 26; 6; 54; 15.75; -94.14| 4.7
2013; 3; 26; 7; 4; 15.78; -98.61| 5.4
2013; 3; 26; 7; 12; 15.94; -98.45| 5
2013; 3; 26; 7; 25; 15.86; -98.27| 4.7
2013; 3; 26; 7; 39; 15.83; -98.43| 4.5
2013; 3; 26; 9; 22; 15.89; -98.49| 4
2013; 3; 27; 7; 59; 15.99; -98.41| 4.2
2013; 3; 27; 18; 55; 17.27; -94.54| 4.2
2013; 3; 27; 19; 19; 14.97; -94.14| 4
