Year,Month,Day,Hour,Minute,Latitude,Longitude,Magnitude,Dangerous
2010,4,22,12,12,32.87,-115.71,4.3,0
2010,4,23,4,30,32.27,-115.18,4,0
2010,4,23,14,51,13.46,-92.01,4.3,0
2010,4,24,15,31,13.43,-91.76,4,0
2010,4,24,18,1,16.97,-95.04,4,0
2010,4,24,18,13,28.87,-108.04,4.3,0
2010,4,25,0,11,15.85,-93.9,4.2,0
2010,4,26,10,47,13.87,-90.83,4.2,0
2010,4,26,19,9,32.39,-115.19,4,0
2010,4,27,5,55,32.98,-115.8,4.7,0
2010,4,27,12,0,16.23,-98.42,4,0
2010,4,27,16,28,14.52,-93.49,4.2,0
2010,4,27,22,0,14.36,-93.71,4.1,0
2010,4,29,4,17,15.68,-93.96,4,0
2010,4,29,12,51,32.8,-115.75,4.3,0
2010,4,30,5,28,15.45,-94.75,4.1,0
2010,5,1,2,23,28.37,-105.53,4.2,0
2010,5,1,14,43,32.64,-114.97,4,0
2010,5,1,21,6,32.57,-115.19,4.4,0
2010,5,1,23,59,32.18,-115.1,4.1,0
2010,5,2,7,20,32.01,-115.29,4.1,0
2010,5,2,7,30,15.66,-92.59,4.1,0
2010,5,2,19,15,16.33,-98.2,4,0
2010,5,2,23,55,27.6,-111.39,4.6,0
2010,5,3,18,41,15.99,-97.58,4.1,0
2010,5,3,18,51,18.86,-104.33,4,0
2010,5,4,6,26,32.34,-115.15,4.4,0
2010,5,4,8,5,32.15,-115.02,4.4,0
2010,5,5,6,7,32.33,-115.14,4,0
2010,5,5,16,37,16.38,-98.27,4.1,0
2010,5,6,5,14,16.36,-98.46,4.4,0
2010,5,7,7,2,32.45,-115.12,4.1,0
2010,5,7,16,30,16.98,-99,4.1,0
2010,5,7,17,9,16.77,-100.12,4.2,0
2010,5,8,13,33,32.83,-115.76,4.8,0
2010,5,8,13,46,32.83,-115.74,4.5,0
2010,5,8,13,46,32.82,-115.78,4.5,0
2010,5,8,14,22,24.23,-110.42,4.2,0
2010,5,8,14,52,32.88,-115.76,4,0
2010,5,8,17,40,15.02,-92.6,4.2,0
2010,5,8,22,44,15.79,-98.66,4.1,0
2010,5,8,22,48,16.01,-98.55,4.2,0
2010,5,9,5,42,27.04,-116.18,4.5,0
2010,5,9,7,54,17.36,-100.43,4.1,0
2010,5,9,15,46,18.44,-103.16,4,0
2010,5,10,16,37,17.04,-100.49,4,0
2010,5,12,0,5,13.89,-92.13,4,0
2010,5,12,8,18,14.68,-93.71,4,0
2010,5,12,10,12,16.14,-98.28,4,0
2010,5,12,17,45,17.03,-99.95,4.2,0
2010,5,12,23,24,16.05,-98.22,4,0
2010,5,13,3,24,16.53,-94.92,4.2,0
2010,5,13,11,36,15.72,-91.73,4,0
2010,5,13,18,34,15.99,-97.18,4.1,0
2010,5,14,0,18,32.24,-115.16,4,0
2010,5,14,3,7,32.18,-115.06,4.1,0
2010,5,15,3,38,32.29,-115.17,4.1,0
2010,5,16,3,30,16.92,-94.34,4,0
2010,5,16,4,9,17.97,-102.05,4,0
2010,5,16,17,58,14.42,-94.56,4.1,0
2010,5,17,12,54,14.92,-94.57,4,0
2010,5,17,22,24,15.91,-95.08,4.1,0
2010,5,18,0,29,20.27,-99.04,4.3,0
2010,5,18,0,52,16.24,-93.77,4,0
2010,5,18,10,58,14.48,-94.61,4.2,0
2010,5,18,19,39,32.83,-115.81,4.8,0
2010,5,18,21,19,15.98,-98.14,4.2,0
2010,5,19,6,28,15.91,-92.57,4.2,0
2010,5,19,12,57,16.31,-99.35,4.1,0
2010,5,21,4,51,15.97,-97.59,4,0
2010,5,22,12,30,32.71,-115.69,4.9,0
2010,5,22,12,33,32.84,-115.56,4.6,0
2010,5,22,22,4,18.26,-104.98,4,0
2010,5,24,0,21,33.02,-115.8,4,0
2010,5,24,7,23,14.57,-95.03,4,0
2010,5,24,17,48,27.23,-107.49,4.3,0
2010,5,24,23,27,16.66,-94.75,4.2,0
2010,5,25,17,17,15.33,-94.77,4.1,0
2010,5,25,17,20,16.62,-101.49,4.1,0
2010,5,25,17,44,17.06,-100.58,4.5,0
2010,5,25,18,36,17.11,-101.2,5,1
2010,5,26,5,47,14.25,-93.23,4,0
2010,5,27,15,28,32.21,-115.35,4.5,0
2010,5,28,11,14,32.42,-115.09,4,0
2010,5,29,3,2,32.19,-115.08,4.1,0
2010,5,29,10,11,25.64,-110.99,4.2,0
2010,5,29,12,46,16.52,-95.02,4.2,0
2010,5,31,14,6,17.18,-95.28,4.1,0
2010,5,31,17,20,17.47,-95.52,4.4,0
2010,6,2,2,58,17.3,-95.24,4.1,0
2010,6,2,14,58,17.15,-95.2,4.2,0
2010,6,3,13,10,32.36,-115.81,4,0
2010,6,5,19,33,18.39,-103.07,4.5,0
2010,6,7,1,52,31.38,-115.93,4.1,0
2010,6,7,5,54,17.06,-101.15,4,0
2010,6,7,7,45,14.42,-94.11,4.3,0
2010,6,8,0,30,16.11,-97.26,4,0
2010,6,8,2,49,15.26,-96.67,4.6,0
2010,6,9,6,25,16.56,-98.47,4.3,0
2010,6,9,20,20,15.21,-96.71,4.1,0
2010,6,9,20,59,13.14,-92.32,4,0
2010,6,9,23,44,15.41,-96.68,4.1,0
2010,6,10,17,7,32.13,-115.01,4.4,0
2010,6,10,23,22,14.02,-92.57,4,0
2010,6,11,15,51,32.51,-115.1,4.3,0
2010,6,12,1,4,17.22,-101.44,4.1,0
2010,6,12,2,8,17.83,-103.63,4,0
2010,6,12,4,48,17.67,-95.82,4.2,0
2010,6,12,21,58,14.64,-92.93,4.4,0
